cluster,best_model,test_rmse,training_time_min,n_customers,n_observations,knn_rmse,lstm_rmse,gru_rmse,transformer_rmse
B2B_Services_Seasonal,Transformer,1.3197856942974358,1.6207569320996602,237,22348,1.4312177477971944,1.3203408494820725,1.3231017298445096,1.3197856942974358
B2B_Services_Steady,GRU,1.3368770160962367,1.9203373471895853,257,22804,1.4598867238025834,1.337151238210105,1.3368770160962367,2.4900657629947185
Digital_B2C_Seasonal,LSTM,1.3432948612307671,1.0817272027333578,79,8038,1.3907156926177944,1.3432948612307671,1.3516802272850514,3.660599192426257
Digital_B2C_Steady,LSTM,1.2933128700346996,0.7592724204063416,33,3212,1.359681196586274,1.2933128700346996,1.3186607985103187,1.6553308105796043
Mixed,LSTM,1.349670952391448,0.6519092241923015,53,5223,1.4668693048172572,1.349670952391448,1.4077280717684975,3.281881212757381
Retail_Seasonal,LSTM,1.350118407318081,0.6187794446945191,22,2256,1.453228369666689,1.350118407318081,1.3504641638379427,3.306405488773304
Retail_Steady,LSTM,1.376553747211762,0.7926242907842,10,1033,1.5161305951248245,1.376553747211762,1.3823046323995756,1.9403540321849289
Subscription_SaaS,LSTM,1.3528451689592282,1.3311449448267618,225,15527,1.4898821743018917,1.3528451689592282,1.3654131403836671,1.5546975263378333
