cluster,best_model,test_rmse,training_time_min,n_customers,n_observations,batch_size,n_batches,knn_rmse,lstm_rmse,gru_rmse,transformer_rmse
Retail_Combined,KNN,0.11244865528117608,0.7254136323928833,32,3290,N/A,N/A,0.11244865528117608,0.11997196078300476,0.11854345351457596,0.16730758547782898
Mixed,KNN,0.2631169822667938,0.8975232164065043,53,5239,N/A,N/A,0.2631169822667938,0.37165310978889465,0.34820523858070374,0.3859657347202301
B2B_Services_Combined,KNN,0.3114364541110282,1.302500299612681,494,45256,N/A,N/A,0.3114364541110282,0.5100795030593872,0.5002053380012512,0.6007119417190552
Digital_B2C_Combined,KNN,0.9332783366378522,1.0947893857955933,112,11261,N/A,N/A,0.9332783366378522,1.4734458923339844,1.3620398044586182,1.6435943841934204
Subscription_SaaS,KNN,1.427022665104563,0.8734710892041524,226,15629,N/A,N/A,1.427022665104563,1.5959317684173584,1.570319652557373,1.832131266593933
